"Frequency / Hz","L1:Inductor current","L1:Inductor current"
124.06391590588318,47.481079477654895,-37.937013007537502
126.96351276599728,47.404164232364167,-38.580606810364742
129.93087842004158,47.325046830570869,-39.227512681880675
132.96759674662127,47.243705729602311,-39.87741622523022
136.07528864243332,47.160121478303125,-40.529995434365226
139.25561288744635,47.074276796013486,-41.184921438874149
142.51026703029993,46.986156643192686,-41.841859292597931
145.84098829439864,46.895748284361993,-42.500468797954227
149.24955450518291,46.803041341491934,-43.160405364394144
152.73778503907141,46.708027838006608,-43.821320895862279
156.30754179458174,46.610702233199966,-44.482864698434867
159.96073018614879,46.51106144606625,-45.144684406342193
163.69930016117019,46.409104869146915,-45.806426918208786
167.52524724082156,46.304834371493399,-46.467739339293026
171.44061358519721,46.198254291488858,-47.128269919885078
175.44748908334597,46.089371418852494,-47.787668988545491
