"Frequency / Hz","Vm2:Measured voltage","Vm2:Measured voltage"
140.1602542834554,73.09747259174938,-168.79830710284207
143.66169860767508,71.625593412732528,-171.33738315688228
147.25061503601063,70.299167576738952,-173.31607744157736
150.92918877213532,69.089114972440129,-174.91119871016619
154.69965960987005,67.973665958197756,-176.23355902919431
158.56432329693939,66.936302759840231,-177.35582941916161
162.52553293279649,65.964286051583542,-178.32752221182702
166.58570040136712,65.047628617132503,-179.18348083654124
170.74729783958881,64.178379620267023,-179.94891438150259
175.01285914263218,63.350119815701227,-180.64250341048026
179.3849815067307,62.557600192336665,-181.27838294746314
183.86632701054739,61.796479175011768,-181.86744721830394
188.45962423605172,61.063128509200368,-182.41823115475012
193.16766992988551,60.354487740885183,-182.93752007201962
197.99333070623408,59.667953603956505,-183.43078023239758
202.93954479223783,59.001294852019235,-183.90246864886089
