"Frequency / Hz","Am1:Measured current","Am1:Measured current"
170.74729783958881,61.936693378554573,-89.973900064498338
175.01285914263218,61.315732820000463,-90.307275875733353
179.3849815067307,60.730499594562168,-90.582760288220484
183.86632701054739,60.176635830788747,-90.811056394267851
188.45962423605172,59.650496919880041,-91.000508018797674
193.16766992988551,59.149005963782869,-91.157709422998167
197.99333070623408,58.669543130715319,-91.287935895814698
202.93954479223783,58.209860455031546,-91.395453587616728
208.00932381700611,57.768015442252938,-91.483746234585382
213.20575464532692,57.342318754417292,-91.555683610458175
218.5320012571805,56.931292566727507,-91.613648424044698
223.99130667421304,56.533637104065832,-91.659633126893681
229.58699493433002,56.148203514040986,-91.695314621805466
235.3224731156244,55.773971697097238,-91.722112532873496
241.20123341086219,55.410032050277835,-91.741235099099697
247.22685525379364,55.055570327355099,-91.753715649074906
